Sample,Block,Rep,Date,SoilYear,Variety,SoilType,WCR,Arm,Order,Mass,EPN
F1-1,1,1,2/8/2023,2022,MastersChoice,Fallow,yes,front,16,0.255,54
F1-2,1,2,2/8/2023,2022,MastersChoice,Fallow,yes,back,14,0.1845,115
F1-3,1,3,2/8/2023,2022,MastersChoice,Fallow,yes,front,13,0.1139,71
F1-4,1,4,2/8/2023,2022,MastersChoice,Fallow,no,back,16,0.2091,103
F1-5,1,5,2/8/2023,2022,MastersChoice,Fallow,no,front,10,0.145,40
F1-6,1,6,2/8/2023,2022,MastersChoice,Fallow,yes,back,10,0.178,90
F1-7,1,7,2/8/2023,2022,MastersChoice,Fallow,no,front,14,0.6067,131
F1-8,1,8,2/8/2023,2022,MastersChoice,Fallow,no,back,13,0.1483,165
R1-1,1,1,2/8/2023,2022,MastersChoice,Radish,no,front,4,0.5895,17
R1-2,1,2,2/8/2023,2022,MastersChoice,Radish,yes,front,15,0.2508,89
R1-3,1,3,2/8/2023,2022,MastersChoice,Radish,no,front,8,0.2252,6
R1-4,1,4,2/8/2023,2022,MastersChoice,Radish,yes,back,4,0.6446,104
R1-5,1,5,2/8/2023,2022,MastersChoice,Radish,no,back,2,0.2871,127
R1-6,1,6,2/8/2023,2022,MastersChoice,Radish,yes,back,8,0.2087,134
R1-7,1,7,2/8/2023,2022,MastersChoice,Radish,yes,front,2,0.1626,118
R1-8,1,8,2/8/2023,2022,MastersChoice,Radish,no,back,15,0.285,141
T1-1,1,1,2/8/2023,2022,MastersChoice,Triticale,no,back,6,0.5072,115
T1-2,1,2,2/8/2023,2022,MastersChoice,Triticale,no,back,9,0.3014,47
T1-3,1,3,2/8/2023,2022,MastersChoice,Triticale,no,back,3,0.4593,123
T1-4,1,4,2/8/2023,2022,MastersChoice,Triticale,no,back,17,0.3027,95
T1-5,1,5,2/8/2023,2022,MastersChoice,Triticale,yes,front,6,0.5813,82
T1-6,1,6,2/8/2023,2022,MastersChoice,Triticale,yes,front,9,0.2074,102
T1-7,1,7,2/8/2023,2022,MastersChoice,Triticale,yes,front,17,0.191,121
T1-8,1,8,2/8/2023,2022,MastersChoice,Triticale,yes,front,3,0.732,56
T1-9,1,9,2/8/2023,2022,MastersChoice,Triticale,no,front,1,0.2801,44
T1-10,1,10,2/8/2023,2022,MastersChoice,Triticale,yes,back,1,0.6511,92
P1-1,1,1,2/8/2023,2022,MastersChoice,Pea,yes,front,5,0.5585,42
P1-2,1,2,2/8/2023,2022,MastersChoice,Pea,no,front,7,0.3264,42
P1-3,1,3,2/8/2023,2022,MastersChoice,Pea,yes,back,12,0.7779,306
P1-4,1,4,2/8/2023,2022,MastersChoice,Pea,no,back,11,0.2238,52
P1-5,1,5,2/8/2023,2022,MastersChoice,Pea,no,back,5,0.178,71
P1-6,1,6,2/8/2023,2022,MastersChoice,Pea,yes,back,18,0.3999,120
P1-7,1,7,2/8/2023,2022,MastersChoice,Pea,yes,front,11,0.248,121
P1-8,1,8,2/8/2023,2022,MastersChoice,Pea,no,front,12,0.2107,79
P1-9,1,9,2/8/2023,2022,MastersChoice,Pea,no,front,18,0.1455,96
P1-10,1,10,2/8/2023,2022,MastersChoice,Pea,yes,back,7,0.3834,164
F2-1,2,1,2/12/2023,2022,MastersChoice,Fallow,yes,front,17,0.3497,108
F2-2,2,2,2/12/2023,2022,MastersChoice,Fallow,yes,front,4,0.2841,108
F2-3,2,3,2/12/2023,2022,MastersChoice,Fallow,no,back,12,0.3456,17
F2-4,2,4,2/12/2023,2022,MastersChoice,Fallow,no,back,1,0.3592,28
F2-5,2,5,2/12/2023,2022,MastersChoice,Fallow,yes,back,18,0.3125,117
F2-6,2,6,2/12/2023,2022,MastersChoice,Fallow,no,back,4,0.284,13
F2-7,2,7,2/12/2023,2022,MastersChoice,Fallow,no,back,17,0.3129,67
F2-8,2,8,2/12/2023,2022,MastersChoice,Fallow,yes,front,1,0.2584,41
F2-9,2,9,2/12/2023,2022,MastersChoice,Fallow,yes,front,12,0.3101,68
F2-10,2,10,2/12/2023,2022,MastersChoice,Fallow,no,front,18,0.2269,51
R2-1,2,1,2/12/2023,2022,MastersChoice,Radish,no,front,2,0.4023,87
R2-2,2,2,2/12/2023,2022,MastersChoice,Radish,yes,back,2,0.3148,56
R2-3,2,3,2/12/2023,2022,MastersChoice,Radish,yes,front,11,0.2352,35
R2-4,2,4,2/12/2023,2022,MastersChoice,Radish,no,back,8,0.6507,136
R2-5,2,5,2/12/2023,2022,MastersChoice,Radish,yes,back,15,0.5613,126
R2-6,2,6,2/12/2023,2022,MastersChoice,Radish,no,front,15,0.3849,51
R2-7,2,7,2/12/2023,2022,MastersChoice,Radish,yes,back,16,0.2159,77
R2-8,2,8,2/12/2023,2022,MastersChoice,Radish,no,back,11,0.5596,108
R2-9,2,9,2/12/2023,2022,MastersChoice,Radish,no,front,16,0.435,98
R2-10,2,10,2/12/2023,2022,MastersChoice,Radish,yes,front,8,0.4953,13
T2-1,2,1,2/12/2023,2022,MastersChoice,Triticale,yes,back,7,0.785,72
T2-2,2,2,2/12/2023,2022,MastersChoice,Triticale,no,front,7,0.5262,63
T2-3,2,3,2/12/2023,2022,MastersChoice,Triticale,yes,front,10,0.2184,58
T2-4,2,4,2/12/2023,2022,MastersChoice,Triticale,no,back,10,0.3356,31
T2-5,2,5,2/12/2023,2022,MastersChoice,Triticale,no,back,5,0.2802,57
T2-6,2,6,2/12/2023,2022,MastersChoice,Triticale,yes,front,5,0.4873,57
T2-7,2,7,2/12/2023,2022,MastersChoice,Triticale,yes,back,3,0.3945,125
T2-8,2,8,2/12/2023,2022,MastersChoice,Triticale,no,front,3,0.3843,69
P2-1,2,1,2/12/2023,2022,MastersChoice,Pea,no,back,14,0.3593,53
P2-2,2,2,2/12/2023,2022,MastersChoice,Pea,yes,back,13,0.4282,28
P2-3,2,3,2/12/2023,2022,MastersChoice,Pea,no,front,6,0.3495,64
P2-4,2,4,2/12/2023,2022,MastersChoice,Pea,yes,front,14,0.3462,19
P2-5,2,5,2/12/2023,2022,MastersChoice,Pea,no,front,13,0.445,82
P2-6,2,6,2/12/2023,2022,MastersChoice,Pea,no,back,9,0.4179,38
P2-7,2,7,2/12/2023,2022,MastersChoice,Pea,yes,back,6,0.1436,49
P2-8,2,8,2/12/2023,2022,MastersChoice,Pea,yes,front,9,0.4891,22
R3-1,3,1,5/23/2023,2023,MastersChoice,Radish,no,front,7,NA,76
R3-2,3,2,5/23/2023,2023,MastersChoice,Radish,yes,back,7,NA,55
R3-3,3,3,5/23/2023,2023,MastersChoice,Radish,no,back,5,NA,90
R3-4,3,4,5/23/2023,2023,MastersChoice,Radish,yes,front,5,NA,19
T3-1,3,1,5/23/2023,2023,MastersChoice,Triticale,yes,back,2,NA,81
T3-2,3,2,5/23/2023,2023,MastersChoice,Triticale,no,front,2,NA,91
P3-1,3,1,5/23/2023,2023,MastersChoice,Pea,no,back,8,NA,92
P3-2,3,2,5/23/2023,2023,MastersChoice,Pea,yes,back,6,NA,51
P3-3,3,3,5/23/2023,2023,MastersChoice,Pea,no,front,6,NA,94
P3-4,3,4,5/23/2023,2023,MastersChoice,Pea,yes,front,8,NA,84
P3-5,3,5,5/23/2023,2023,MastersChoice,Pea,no,back,4,NA,112
P3-6,3,6,5/23/2023,2023,MastersChoice,Pea,no,back,1,NA,81
P3-7,3,7,5/23/2023,2023,MastersChoice,Pea,yes,front,4,NA,21
P3-8,3,8,5/23/2023,2023,MastersChoice,Pea,yes,back,3,NA,74
P3-9,3,9,5/23/2023,2023,MastersChoice,Pea,no,front,3,NA,75
P3-10,3,10,5/23/2023,2023,MastersChoice,Pea,yes,front,1,,52
F4-1,4,1,6/1/2023,2023,MastersChoice,Fallow,no,front,12,0.6158,129
F4-2,4,2,6/1/2023,2023,MastersChoice,Fallow,no,back,2,0.2651,178
F4-3,4,3,6/1/2023,2023,MastersChoice,Fallow,yes,back,12,0.208,136
F4-4,4,4,6/1/2023,2023,MastersChoice,Fallow,yes,front,2,0.1464,102
F4-5,4,5,6/1/2023,2023,MastersChoice,Fallow,no,front,13,0.2066,83
F4-6,4,6,6/1/2023,2023,MastersChoice,Fallow,yes,back,13,0.2907,124
R4-1,4,1,6/1/2023,2023,MastersChoice,Radish,no,back,10,0.3629,99
R4-2,4,2,6/1/2023,2023,MastersChoice,Radish,yes,back,8,0.1206,46
R4-3,4,3,6/1/2023,2023,MastersChoice,Radish,no,back,5,0.2619,154
R4-4,4,4,6/1/2023,2023,MastersChoice,Radish,yes,back,3,0.1285,36
R4-5,4,5,6/1/2023,2023,MastersChoice,Radish,yes,front,10,0.128,134
R4-6,4,6,6/1/2023,2023,MastersChoice,Radish,no,front,8,0.2338,162
R4-7,4,7,6/1/2023,2023,MastersChoice,Radish,yes,front,5,0.1206,120
R4-8,4,8,6/1/2023,2023,MastersChoice,Radish,no,front,3,0.3225,69
T4-1,4,1,6/1/2023,2023,MastersChoice,Triticale,no,front,11,0.1945,72
T4-2,4,2,6/1/2023,2023,MastersChoice,Triticale,yes,front,15,0.0597,125
T4-3,4,3,6/1/2023,2023,MastersChoice,Triticale,yes,front,7,0.2104,12
T4-4,4,4,6/1/2023,2023,MastersChoice,Triticale,no,front,4,0.2208,101
T4-5,4,5,6/1/2023,2023,MastersChoice,Triticale,yes,back,11,0.1846,133
T4-6,4,6,6/1/2023,2023,MastersChoice,Triticale,no,back,15,0.116,84
T4-7,4,7,6/1/2023,2023,MastersChoice,Triticale,no,back,7,0.124,140
T4-8,4,8,6/1/2023,2023,MastersChoice,Triticale,yes,back,4,0.1777,136
P4-1,4,1,6/1/2023,2023,MastersChoice,Pea,no,back,14,0.1418,142
P4-2,4,2,6/1/2023,2023,MastersChoice,Pea,no,back,9,0.0547,122
P4-3,4,3,6/1/2023,2023,MastersChoice,Pea,no,front,6,0.1079,86
P4-4,4,4,6/1/2023,2023,MastersChoice,Pea,yes,back,1,0.2783,170
P4-5,4,5,6/1/2023,2023,MastersChoice,Pea,yes,front,14,0.1603,92
P4-6,4,6,6/1/2023,2023,MastersChoice,Pea,yes,front,9,0.2119,71
P4-7,4,7,6/1/2023,2023,MastersChoice,Pea,yes,back,6,0.3273,10
P4-8,4,8,6/1/2023,2023,MastersChoice,Pea,no,front,1,0.1039,38
F5-1,5,1,6/7/2023,2023,BlueRiverOrganic,Fallow,yes,front,3,0.2488,47
F5-2,5,2,6/7/2023,2023,BlueRiverOrganic,Fallow,no,front,14,0.3387,120
F5-3,5,3,6/7/2023,2023,BlueRiverOrganic,Fallow,no,back,3,0.3095,66
F5-4,5,4,6/7/2023,2023,BlueRiverOrganic,Fallow,yes,back,2,0.3382,173
F5-5,5,5,6/7/2023,2023,BlueRiverOrganic,Fallow,yes,front,16,0.527,11
F5-6,5,6,6/7/2023,2023,BlueRiverOrganic,Fallow,no,back,16,0.3191,131
F5-7,5,7,6/7/2023,2023,BlueRiverOrganic,Fallow,yes,back,14,0.2433,23
F5-8,5,8,6/7/2023,2023,BlueRiverOrganic,Fallow,no,front,2,0.2017,56
R5-1,5,1,6/7/2023,2023,BlueRiverOrganic,Radish,yes,front,12,0.4335,131
R5-2,5,2,6/7/2023,2023,BlueRiverOrganic,Radish,no,front,9,0.3264,46
R5-3,5,3,6/7/2023,2023,BlueRiverOrganic,Radish,no,front,6,0.2639,119
R5-4,5,4,6/7/2023,2023,BlueRiverOrganic,Radish,no,back,4,0.2963,39
R5-5,5,5,6/7/2023,2023,BlueRiverOrganic,Radish,yes,back,9,0.2711,51
R5-6,5,6,6/7/2023,2023,BlueRiverOrganic,Radish,yes,back,6,0.154,45
R5-7,5,7,6/7/2023,2023,BlueRiverOrganic,Radish,no,back,12,0.4217,59
R5-8,5,8,6/7/2023,2023,BlueRiverOrganic,Radish,yes,front,4,0.3109,62
T5-1,5,1,6/7/2023,2023,BlueRiverOrganic,Triticale,no,front,13,0.3322,133
T5-2,5,2,6/7/2023,2023,BlueRiverOrganic,Triticale,no,back,7,0.4568,11
T5-3,5,3,6/7/2023,2023,BlueRiverOrganic,Triticale,no,front,8,0.3712,115
T5-4,5,4,6/7/2023,2023,BlueRiverOrganic,Triticale,yes,back,13,0.2389,138
T5-5,5,5,6/7/2023,2023,BlueRiverOrganic,Triticale,yes,back,8,0.3212,35
T5-6,5,6,6/7/2023,2023,BlueRiverOrganic,Triticale,no,back,15,0.3756,73
T5-7,5,7,6/7/2023,2023,BlueRiverOrganic,Triticale,yes,front,7,0.3094,66
T5-8,5,8,6/7/2023,2023,BlueRiverOrganic,Triticale,yes,front,15,0.2615,90
P5-1,5,1,6/7/2023,2023,BlueRiverOrganic,Pea,no,back,1,0.3872,90
P5-2,5,2,6/7/2023,2023,BlueRiverOrganic,Pea,yes,back,17,0.3154,61
P5-3,5,3,6/7/2023,2023,BlueRiverOrganic,Pea,no,front,5,0.3954,125
P5-4,5,4,6/7/2023,2023,BlueRiverOrganic,Pea,no,front,17,0.2956,49
P5-5,5,5,6/7/2023,2023,BlueRiverOrganic,Pea,no,back,11,0.2541,82
P5-6,5,6,6/7/2023,2023,BlueRiverOrganic,Pea,yes,front,1,0.3877,79
P5-7,5,7,6/7/2023,2023,BlueRiverOrganic,Pea,no,back,10,0.2475,56
P5-8,5,8,6/7/2023,2023,BlueRiverOrganic,Pea,yes,front,11,0.4804,92
P5-9,5,9,6/7/2023,2023,BlueRiverOrganic,Pea,yes,back,5,0.3343,72
P5-10,5,10,6/7/2023,2023,BlueRiverOrganic,Pea,yes,front,10,0.2795,105
F6-1,6,1,6/14/2023,2023,BlueRiverOrganic,Fallow,yes,front,1,0.185,
F6-2,6,2,6/14/2023,2023,BlueRiverOrganic,Fallow,yes,back,3,0.1744,
F6-3,6,3,6/14/2023,2023,BlueRiverOrganic,Fallow,no,back,8,0.2843,
F6-4,6,4,6/14/2023,2023,BlueRiverOrganic,Fallow,yes,front,5,0.3853,
F6-5,6,5,6/14/2023,2023,BlueRiverOrganic,Fallow,no,front,3,0.3206,
F6-6,6,6,6/14/2023,2023,BlueRiverOrganic,Fallow,no,back,1,0.1969,
F6-7,6,7,6/14/2023,2023,BlueRiverOrganic,Fallow,yes,front,8,0.3515,
F6-8,6,8,6/14/2023,2023,BlueRiverOrganic,Fallow,no,front,12,0.3108,
F6-9,6,9,6/14/2023,2023,BlueRiverOrganic,Fallow,yes,back,12,0.2249,
F6-10,6,10,6/14/2023,2023,BlueRiverOrganic,Fallow,no,back,5,0.1442,
R6-1,6,1,6/14/2023,2023,BlueRiverOrganic,Radish,no,front,16,0.1808,
R6-2,6,2,6/14/2023,2023,BlueRiverOrganic,Radish,yes,front,10,0.2587,
R6-3,6,3,6/14/2023,2023,BlueRiverOrganic,Radish,yes,back,18,0.3138,
R6-4,6,4,6/14/2023,2023,BlueRiverOrganic,Radish,yes,back,16,0.301,
R6-5,6,5,6/14/2023,2023,BlueRiverOrganic,Radish,yes,front,17,0.4582,
R6-6,6,6,6/14/2023,2023,BlueRiverOrganic,Radish,no,front,18,0.2174,
R6-7,6,7,6/14/2023,2023,BlueRiverOrganic,Radish,no,front,7,0.1509,
R6-8,6,8,6/14/2023,2023,BlueRiverOrganic,Radish,no,back,10,0.2008,
R6-9,6,9,6/14/2023,2023,BlueRiverOrganic,Radish,yes,back,7,0.1414,
R6-10,6,10,6/14/2023,2023,BlueRiverOrganic,Radish,no,back,17,0.0622,
T6-1,6,1,6/14/2023,2023,BlueRiverOrganic,Triticale,no,back,2,0.3594,
T6-2,6,2,6/14/2023,2023,BlueRiverOrganic,Triticale,no,back,9,0.2071,
T6-3,6,3,6/14/2023,2023,BlueRiverOrganic,Triticale,yes,front,2,0.3945,
T6-4,6,4,6/14/2023,2023,BlueRiverOrganic,Triticale,yes,front,9,0.3451,
T6-5,6,5,6/14/2023,2023,BlueRiverOrganic,Triticale,no,front,15,0.9311,
T6-6,6,6,6/14/2023,2023,BlueRiverOrganic,Triticale,no,back,13,0.3358,
T6-7,6,7,6/14/2023,2023,BlueRiverOrganic,Triticale,yes,front,13,0.4595,
T6-8,6,8,6/14/2023,2023,BlueRiverOrganic,Triticale,yes,back,15,0.4465,
P6-1,6,1,6/14/2023,2023,BlueRiverOrganic,Pea,yes,back,4,0.2993,
P6-2,6,2,6/14/2023,2023,BlueRiverOrganic,Pea,yes,back,6,0.139,
P6-3,6,3,6/14/2023,2023,BlueRiverOrganic,Pea,no,front,11,0.481,
P6-4,6,4,6/14/2023,2023,BlueRiverOrganic,Pea,no,front,4,0.242,
P6-5,6,5,6/14/2023,2023,BlueRiverOrganic,Pea,no,front,6,0.4125,
P6-6,6,6,6/14/2023,2023,BlueRiverOrganic,Pea,yes,front,14,0.3784,
P6-7,6,7,6/14/2023,2023,BlueRiverOrganic,Pea,no,back,14,0.2955,
P6-8,6,8,6/14/2023,2023,BlueRiverOrganic,Pea,yes,back,11,0.2846,
F7-1,7,1,6/20/2023,2023,MastersChoice,Fallow,yes,back,1,0.3092,8
F7-2,7,2,6/20/2023,2023,MastersChoice,Fallow,no,front,5,0.3301,13
F7-3,7,3,6/20/2023,2023,MastersChoice,Fallow,no,front,1,0.163,32
F7-4,7,4,6/20/2023,2023,MastersChoice,Fallow,no,front,3,0.1603,10
F7-5,7,5,6/20/2023,2023,MastersChoice,Fallow,yes,front,12,0.4061,21
F7-6,7,6,6/20/2023,2023,MastersChoice,Fallow,no,back,16,0.2701,4
F7-7,7,7,6/20/2023,2023,MastersChoice,Fallow,yes,front,16,0.3759,21
F7-8,7,8,6/20/2023,2023,MastersChoice,Fallow,yes,back,3,0.4277,1
F7-9,7,9,6/20/2023,2023,MastersChoice,Fallow,yes,back,5,0.4216,5
F7-10,7,10,6/20/2023,2023,MastersChoice,Fallow,no,back,12,0.2886,10
R7-1,7,1,6/20/2023,2023,MastersChoice,Radish,no,back,4,0.4788,11
R7-2,7,2,6/20/2023,2023,MastersChoice,Radish,no,front,10,0.3523,5
R7-3,7,3,6/20/2023,2023,MastersChoice,Radish,yes,front,9,0.3122,7
R7-4,7,4,6/20/2023,2023,MastersChoice,Radish,no,front,7,0.308,8
R7-5,7,5,6/20/2023,2023,MastersChoice,Radish,yes,back,10,0.5083,1
R7-6,7,6,6/20/2023,2023,MastersChoice,Radish,yes,back,7,0.2347,14
R7-7,7,7,6/20/2023,2023,MastersChoice,Radish,yes,front,4,0.314,18
R7-8,7,8,6/20/2023,2023,MastersChoice,Radish,no,back,9,0.4738,0
T7-1,7,1,6/20/2023,2023,MastersChoice,Triticale,no,back,6,0.4103,3
T7-2,7,2,6/20/2023,2023,MastersChoice,Triticale,yes,back,11,0.5053,2
T7-3,7,3,6/20/2023,2023,MastersChoice,Triticale,no,front,11,0.5053,19
T7-4,7,4,6/20/2023,2023,MastersChoice,Triticale,yes,back,14,0.3855,2
T7-5,7,5,6/20/2023,2023,MastersChoice,Triticale,yes,front,8,0.3011,6
T7-6,7,6,6/20/2023,2023,MastersChoice,Triticale,no,front,14,0.2893,10
T7-7,7,7,6/20/2023,2023,MastersChoice,Triticale,yes,front,6,0.2895,4
T7-8,7,8,6/20/2023,2023,MastersChoice,Triticale,no,back,8,0.4678,9
P7-1,7,1,6/20/2023,2023,MastersChoice,Pea,no,front,2,0.2347,7
P7-2,7,2,6/20/2023,2023,MastersChoice,Pea,yes,back,2,0.2467,9
P7-3,7,3,6/20/2023,2023,MastersChoice,Pea,no,front,17,0.4873,14
P7-4,7,4,6/20/2023,2023,MastersChoice,Pea,no,back,15,0.3383,2
P7-5,7,5,6/20/2023,2023,MastersChoice,Pea,no,back,13,0.4077,1
P7-6,7,6,6/20/2023,2023,MastersChoice,Pea,yes,front,13,0.3373,32
P7-7,7,7,6/20/2023,2023,MastersChoice,Pea,yes,front,15,0.1948,7
P7-8,7,8,6/20/2023,2023,MastersChoice,Pea,yes,back,17,0.1933,8
