Sample,Trt,Rep,Block,SoilType,Variety,SoilYear,DateGerm,WCR,DateWCR,WCRAdded,Height,Vstage,RootMass,ShootMass,RootShootRatio,WCRRecovered,WCRSurvival,WCRWeightAvg,WCRInstarAvg,WCRTotalWeight,WCR3rdInstar
F11,F,11,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,38,5,1.0598,0.8654,1.224636006,NA,NA,NA,NA,NA,NA
F12,F,12,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,26,5,NA,0.5455,NA,6,0.315789474,0.174333333,2.5,1.046,0.5
F13,F,13,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,34,4,0.9065,1.0555,0.858834676,NA,NA,NA,NA,NA,NA
F14,F,14,2,ConvFallow,MastersChoice,2021,7/6/2021,no,8/4/2021,0,34,5,0.5696,0.7063,0.80645618,NA,NA,NA,NA,NA,NA
F15,F,15,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,19,33,4,NA,0.7054,NA,5,0.263157895,0.2418,2.4,1.209,0.4
F16,F,16,2,ConvFallow,MastersChoice,2021,7/6/2021,yes,8/4/2021,20,33,5,NA,0.5923,NA,9,0.45,0.264444444,2.666666667,2.38,0.666666667
G09,G,9,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,27,5,0.6834,0.8219,0.831488016,NA,NA,NA,NA,NA,NA
G10,G,10,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,35,5,NA,1.1834,NA,3,0.15,0.148333333,2.333333333,0.445,0.333333333
G11,G,11,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,18,29,5,NA,1.2307,NA,6,0.333333333,0.238833333,2.5,1.433,0.5
G12,G,12,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,29,5,0.8725,0.9857,0.885157756,NA,NA,NA,NA,NA,NA
G13,G,13,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,29,5,NA,1.1232,NA,1,0.05,0.124,2,0.124,0
G14,G,14,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,34,5,0.5034,1.0465,0.481032011,NA,NA,NA,NA,NA,NA
G15,G,15,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,33,3,0.3361,0.5388,0.623793615,NA,NA,NA,NA,NA,NA
G16,G,16,2,CCFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,24,5,NA,0.9831,NA,0,0,NA,NA,NA,NA
H09,H,9,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,31,5,1.1364,1.4219,0.799212322,NA,NA,NA,NA,NA,NA
H10,H,10,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,30,5,0.8701,1.335,0.6517603,NA,NA,NA,NA,NA,NA
H11,H,11,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,31,5,NA,1.4678,NA,3,0.15,0.412333333,3,1.237,1
H12,H,12,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,32,4,1.0818,1.641,0.659232176,NA,NA,NA,NA,NA,NA
H13,H,13,2,CCPea,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,37,5,0.847,1.558,0.5436457,NA,NA,NA,NA,NA,NA
H14,H,14,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,32,5,NA,1.4413,NA,0,0,NA,NA,NA,NA
H15,H,15,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,17,32,5,NA,1.8094,NA,4,0.235294118,0.237333333,2.75,0.949333333,0.75
H16,H,16,2,CCPea,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,16,35,5,NA,1.5342,NA,3,0.1875,0.286333333,3,0.859,1
I09,I,9,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,24,5,0.454,0.7017,0.647000143,NA,NA,NA,NA,NA,NA
I10,I,10,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,24,5,0.9845,0.9085,1.083654375,NA,NA,NA,NA,NA,NA
I11,I,11,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,26,5,NA,0.7112,NA,3,0.15,0.165333333,2.666666667,0.496,0.666666667
I12,I,12,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,31,5,0.3516,0.7326,0.47993448,NA,NA,NA,NA,NA,NA
I13,I,13,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,21,5,NA,0.7114,NA,8,0.4,0.373375,2.875,2.987,0.875
I14,I,14,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,28,5,0.5449,0.9553,0.570396734,NA,NA,NA,NA,NA,NA
I15,I,15,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,30,5,NA,0.9523,NA,11,0.55,0.184727273,2.454545455,2.032,0.454545455
I16,I,16,2,CCRadish,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,16,28,4,NA,0.7897,NA,6,0.375,0.237666667,2.666666667,1.426,0.666666667
J09,J,9,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,29,5,0.6147,1.0202,0.602528916,NA,NA,NA,NA,NA,NA
J10,J,10,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,18,31,5,NA,0.7915,NA,2,0.111111111,0.3105,3,0.621,1
J11,J,11,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,24,5,NA,1.0732,NA,4,0.2,0.374,2.75,1.496,0.75
J12,J,12,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,15,36,5,NA,1.024,NA,9,0.6,0.416111111,2.777777778,3.745,0.777777778
J13,J,13,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,39,5,NA,0.9917,NA,7,0.35,0.22,2.714285714,1.54,0.714285714
J14,J,14,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,29,5,0.849,0.781,1.087067862,NA,NA,NA,NA,NA,NA
J15,J,15,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,28,5,0.5719,0.9154,0.624754206,NA,NA,NA,NA,NA,NA
J16,J,16,2,CCTriticale,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,19,5,0.3126,0.5095,0.613542689,NA,NA,NA,NA,NA,NA
K09,K,9,2,CCMix,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,19,33,5,NA,1.1625,NA,2,0.105263158,0.35,3,0.7,1
K10,K,10,2,CCMix,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,27,5,0.8216,1.0634,0.772616137,NA,NA,NA,NA,NA,NA
K11,K,11,2,CCMix,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,19,31,5,NA,1.2124,NA,6,0.315789474,0.261333333,2.5,1.568,0.5
K12,K,12,2,CCMix,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,28,5,0.6182,1.1504,0.537378303,NA,NA,NA,NA,NA,NA
K13,K,13,2,CCMix,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,24,5,0.7432,0.9464,0.785291631,NA,NA,NA,NA,NA,NA
K14,K,14,2,CCMix,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,39,5,NA,1.0161,NA,3,0.15,0.246333333,2.666666667,0.739,0.666666667
K15,K,15,2,CCMix,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,25,5,NA,1.0017,NA,3,0.15,0.204666667,2.666666667,0.614,0.666666667
K16,K,16,2,CCMix,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,27,5,0.8067,1.2024,0.670908184,NA,NA,NA,NA,NA,NA
L09,L,9,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,28,4,NA,0.8,NA,6,0.3,0.217333333,2.833333333,1.304,0.833333333
L10,L,10,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,1,30,5,0.5351,0.9685,0.552503872,NA,NA,NA,NA,NA,NA
L11,L,11,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,27,5,NA,0.62,NA,6,0.3,0.191166667,2.6,1.147,0.6
L12,L,12,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,26,5,NA,0.73,NA,5,0.25,0.1262,2.4,0.631,0.4
L13,L,13,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,31,5,0.615,0.7866,0.781845919,NA,NA,NA,NA,NA,NA
L14,L,14,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,30,5,0.6033,0.9026,0.668402393,NA,NA,NA,NA,NA,NA
L15,L,15,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,no,8/4/2021,0,29,5,0.6433,0.77,0.835454545,NA,NA,NA,NA,NA,NA
L16,L,16,2,ConvFallow,BlueRiverOrganic,2021,7/6/2021,yes,8/4/2021,20,35,5,NA,0.6592,NA,2,0.1,0.332,3,0.664,1
A17,A,17,3,CCFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,41,5,0.9195,1.844,0.498644252,NA,NA,NA,NA,NA,NA
A18,A,18,3,CCFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,49,5,1.1585,1.8605,0.622682075,NA,NA,NA,NA,NA,NA
A19,A,19,3,CCFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,46,5,0.911,1.7204,0.529528017,NA,NA,NA,NA,NA,NA
A20,A,20,3,CCFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,19,51,5,NA,1.1726,NA,5,0.25,0.3516,2.6,1.758,0.6
A21,A,21,3,CCFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,1.2379,NA,6,0.3,0.325833333,2.5,1.955,0.5
A22,A,22,3,CCFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,42,5,0.6373,0.8947,0.712305801,NA,NA,NA,NA,NA,NA
A23,A,23,3,CCFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,2.1916,NA,7,0.35,0.381,2.857142857,2.667,0.857142857
A24,A,24,3,CCFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,39,5,NA,0.9693,NA,1,0.05,1.13,3,1.13,1
B17,B,17,3,CCPea,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,41,5,NA,1.6847,NA,2,0.1,0.593,3,1.186,1
B18,B,18,3,CCPea,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,53,5,NA,1.4427,NA,9,0.45,0.402333333,2.777777778,3.621,0.777777778
B19,B,19,3,CCPea,MastersChoice,2021,7/19/2021,no,8/17/2021,0,53,5,1.0281,1.6683,0.616256069,NA,NA,NA,NA,NA,NA
B20,B,20,3,CCPea,MastersChoice,2021,7/19/2021,no,8/17/2021,0,44,5,0.648,1.3729,0.47199359,NA,NA,NA,NA,NA,NA
B21,B,21,3,CCPea,MastersChoice,2021,7/19/2021,no,8/17/2021,0,52,5,0.7345,1.65,0.445151515,NA,NA,NA,NA,NA,NA
B22,B,22,3,CCPea,MastersChoice,2021,7/19/2021,no,8/17/2021,0,43,5,0.9672,1.7296,0.55920444,NA,NA,NA,NA,NA,NA
B23,B,23,3,CCPea,MastersChoice,2021,7/19/2021,yes,8/17/2021,19,44,5,NA,1.2205,NA,11,0.578947368,1.026636364,3,11.293,1
B24,B,24,3,CCPea,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,1.5551,NA,6,0.3,0.273333333,2.333333333,1.64,0.333333333
C17,C,17,3,CCRadish,MastersChoice,2021,7/19/2021,no,8/17/2021,0,48,5,0.5463,1.0902,0.501100715,NA,NA,NA,NA,NA,NA
C18,C,18,3,CCRadish,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,37,5,NA,0.9878,NA,9,0.45,0.300555556,2.444444444,2.705,0.555555556
C19,C,19,3,CCRadish,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,48,5,NA,1.1635,NA,8,0.4,0.345875,2.75,2.767,0.75
C20,C,20,3,CCRadish,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,0.8546,NA,6,0.3,0.269333333,2.5,1.616,0.5
C21,C,21,3,CCRadish,MastersChoice,2021,7/19/2021,no,8/17/2021,0,49,5,0.4259,1.045,0.407559809,NA,NA,NA,NA,NA,NA
C22,C,22,3,CCRadish,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,49,5,NA,1.2828,NA,6,0.3,0.398,2.666666667,2.388,0.666666667
C23,C,23,3,CCRadish,MastersChoice,2021,7/19/2021,no,8/17/2021,0,52,5,1.0069,1.7407,0.578445453,NA,NA,NA,NA,NA,NA
C24,C,24,3,CCRadish,MastersChoice,2021,7/19/2021,no,8/17/2021,0,54,5,1.2918,1.6254,0.794758213,NA,NA,NA,NA,NA,NA
D17,D,17,3,CCTriticale,MastersChoice,2021,7/19/2021,no,8/17/2021,0,39,5,0.9317,1.7467,0.533405851,NA,NA,NA,NA,NA,NA
D18,D,18,3,CCTriticale,MastersChoice,2021,7/19/2021,no,8/17/2021,0,49,5,0.9378,1.2445,0.753555645,NA,NA,NA,NA,NA,NA
D19,D,19,3,CCTriticale,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,49,5,NA,1.6379,NA,3,0.15,0.678666667,3,2.036,1
D20,D,20,3,CCTriticale,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,33,5,NA,1.7842,NA,6,0.3,0.490666667,2.666666667,2.944,0.666666667
D21,D,21,3,CCTriticale,MastersChoice,2021,7/19/2021,yes,8/17/2021,19,48,5,NA,1.5875,NA,9,0.473684211,0.643555556,2.777777778,5.792,0.777777778
D22,D,22,3,CCTriticale,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,1.1548,NA,9,0.45,0.202444444,2.333333333,1.822,0.333333333
D23,D,23,3,CCTriticale,MastersChoice,2021,7/19/2021,no,8/17/2021,0,45,5,0.6479,1.5739,0.411652583,NA,NA,NA,NA,NA,NA
D24,D,24,3,CCTriticale,MastersChoice,2021,7/19/2021,no,8/17/2021,0,37,5,0.5246,1.2686,0.413526722,NA,NA,NA,NA,NA,NA
E17,E,17,3,CCMix,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,52,5,NA,1.8782,NA,8,0.4,0.6015,3,4.812,1
E18,E,18,3,CCMix,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,40,5,NA,1.0132,NA,1,0.05,0.485,3,0.485,1
E19,E,19,3,CCMix,MastersChoice,2021,7/19/2021,no,8/17/2021,0,34,5,0.984,1.459,0.674434544,NA,NA,NA,NA,NA,NA
E20,E,20,3,CCMix,MastersChoice,2021,7/19/2021,no,8/17/2021,0,51,5,1.0931,2.3759,0.460078286,NA,NA,NA,NA,NA,NA
E21,E,21,3,CCMix,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,50,5,NA,1.2539,NA,8,0.4,0.441625,3,3.533,1
E22,E,22,3,CCMix,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,1.8639,NA,14,0.7,0.8425,2.928571429,11.795,0.928571429
E23,E,23,3,CCMix,MastersChoice,2021,7/19/2021,no,8/17/2021,0,37,5,0.4935,1.0779,0.457834679,NA,NA,NA,NA,NA,NA
E24,E,24,3,CCMix,MastersChoice,2021,7/19/2021,no,8/17/2021,0,52,5,1.1752,1.4682,0.800435908,NA,NA,NA,NA,NA,NA
F17,F,17,3,ConvFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,46,5,NA,0.9695,NA,13,0.65,0.706,2.923076923,9.178,0.923076923
F18,F,18,3,ConvFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,49,5,0.8042,1.4311,0.561945357,NA,NA,NA,NA,NA,NA
F19,F,19,3,ConvFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,40,5,1.2954,1.5248,0.84955404,NA,NA,NA,NA,NA,NA
F20,F,20,3,ConvFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,42,5,NA,1.1211,NA,1,0.05,0.169,2,0.169,0
F21,F,21,3,ConvFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,47,5,NA,1.3665,NA,8,0.4,0.556,3,4.448,1
F22,F,22,3,ConvFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,48,5,1.1181,1.446,0.773236515,NA,NA,NA,NA,NA,NA
F23,F,23,3,ConvFallow,MastersChoice,2021,7/19/2021,yes,8/17/2021,20,37,5,NA,1.0584,NA,6,0.3,0.348,2.666666667,2.088,0.666666667
F24,F,24,3,ConvFallow,MastersChoice,2021,7/19/2021,no,8/17/2021,0,34,5,0.7157,1.1004,0.650399855,NA,NA,NA,NA,NA,NA
G17,G,17,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,32,5,NA,1.0265,NA,12,0.6,0.213333333,2.666666667,2.56,0.666666667
G18,G,18,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,18,25,5,NA,0.9738,NA,9,0.5,0.149444444,2.222222222,1.345,0.333333333
G19,G,19,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,25,5,NA,0.9539,NA,10,0.5,0.2199,2.5,2.199,0.5
G20,G,20,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,38,5,0.5541,0.9425,0.587904509,NA,NA,NA,NA,NA,NA
G21,G,21,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,23,5,NA,0.3996,NA,5,0.25,0.2054,2.6,1.027,0.6
G22,G,22,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,33,5,0.5773,0.8255,0.699333737,NA,NA,NA,NA,NA,NA
G23,G,23,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,26,5,0.3312,0.6916,0.478889532,NA,NA,NA,NA,NA,NA
G24,G,24,3,CCFallow,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,36,5,0.8965,1.521,0.589414859,NA,NA,NA,NA,NA,NA
H17,H,17,3,CCPea,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,36,5,NA,1.3919,NA,8,0.4,0.3825,2.75,3.06,0.75
H18,H,18,3,CCPea,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,27,5,NA,0.7967,NA,11,0.55,0.331909091,2.545454545,3.651,0.545454545
H19,H,19,3,CCPea,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,19,47,5,NA,1.4258,NA,8,0.421052632,0.675,2.875,5.4,0.875
H20,H,20,3,CCPea,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,30,5,0.9435,1.0401,0.907124315,NA,NA,NA,NA,NA,NA
H21,H,21,3,CCPea,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,18,43,5,NA,1.1744,NA,17,0.944444444,0.601823529,2.882352941,10.231,0.882352941
H22,H,22,3,CCPea,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,30,5,0.853,1.1189,0.762355885,NA,NA,NA,NA,NA,NA
H23,H,23,3,CCPea,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,33,5,1.1937,1.4003,0.852460187,NA,NA,NA,NA,NA,NA
H24,H,24,3,CCPea,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,37,5,0.7815,1.2998,0.601246346,NA,NA,NA,NA,NA,NA
I17,I,17,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,29,5,0.3285,0.7555,0.434811383,NA,NA,NA,NA,NA,NA
I18,I,18,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,17,30,5,NA,1.0421,NA,7,0.411764706,0.577857143,3,4.045,1
I19,I,19,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,29,5,0.336,0.7394,0.454422505,NA,NA,NA,NA,NA,NA
I20,I,20,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,30,5,NA,1.1024,NA,2,0.1,1.138,3,2.276,1
I21,I,21,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,30,5,0.4659,0.8369,0.556697335,NA,NA,NA,NA,NA,NA
I22,I,22,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,18,31,5,NA,1.1647,NA,6,0.333333333,0.659166667,3,3.955,1
I23,I,23,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,28,5,NA,1.0986,NA,4,0.2,0.93575,3,3.743,1
I24,I,24,3,CCRadish,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,33,5,0.5074,0.9025,0.562216066,NA,NA,NA,NA,NA,NA
J17,J,17,3,CCTriticale,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,33,5,0.5288,1.1088,0.476911977,NA,NA,NA,NA,NA,NA
J18,J,18,3,CCTriticale,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,28,5,0.5406,0.9346,0.578429275,NA,NA,NA,NA,NA,NA
J19,J,19,3,CCTriticale,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,30,5,NA,1.4693,NA,11,0.55,0.293272727,2.454545455,3.226,0.454545455
J20,J,20,3,CCTriticale,BlueRiverOrganic,2021,7/19/2021,yes,8/17/2021,20,39,5,NA,1.394,NA,6,0.3,0.664666667,2.833333333,3.988,0.833333333
J21,J,21,3,CCTriticale,BlueRiverOrganic,2021,7/19/2021,no,8/17/2021,0,30,5,0.5545,1.2048,0.460242364,NA,NA,NA,NA,NA,NA
